,importance
hr_sin,0.1941220055219379
hr_cos,0.18943384649447675
is_peak_hour_1,0.12617703857731466
atemp,0.09684385587243093
temp,0.08394247589044217
workingday_1,0.08242080640131516
year_2012,0.040181956720110545
yr_1,0.0378262302031324
hum,0.022179689392867696
hr_8,0.021735363332417046
is_weekend_1,0.01609237990362523
weathersit_3,0.014213300062267236
season_4,0.008300052112354484
hr_19,0.006748891637957045
day,0.006487976517269039
month_sin,0.005845836952804299
month_cos,0.005565581424814707
windspeed,0.004979413842227525
hr_9,0.00463226885886738
hr_7,0.0029661794259787334
dayofweek_4,0.0025115678930020097
season_2,0.0024422943785445297
weekday_5,0.0022618135683713436
hr_16,0.002095904257577135
hr_6,0.0016740134779949518
hr_17,0.0016269607942757437
hr_10,0.001492658748628131
hr_20,0.0014160165564247069
hr_23,0.0011564682041315013
weekday_1,0.0011029567057040273
holiday_1,0.0009986831289278482
dayofweek_6,0.0009366499952522008
weathersit_2,0.000829595606817933
hr_18,0.000574313742513329
month_4,0.0004964323511595149
dayofweek_5,0.0004764469492394518
weekday_6,0.00045117793056624963
hr_22,0.0004416876784404864
mnth_4,0.0004403997799234244
dayofweek_2,0.00039082637571395863
dayofweek_3,0.00035518392828114164
weekday_3,0.00035490783404574995
hr_21,0.0003163325367617412
weekday_4,0.00029762223821122873
season_3,0.00026808730327016904
mnth_5,0.0002655844505085836
month_5,0.0002600607337710115
hr_11,0.00025630997632247385
weekday_2,0.0002500348447977236
dayofweek_1,0.00024000012015773663
mnth_3,0.00018926107739470225
mnth_7,0.00016697158412782486
mnth_11,0.00016400134989238331
month_2,0.00015327776034525844
month_3,0.0001531005775533299
mnth_2,0.00013878438971064836
month_11,0.0001385683668072405
mnth_10,0.00012140100079783734
month_7,0.00012015781793260674
month_6,0.00011846120857601004
month_10,0.00011644191881957287
month_8,0.00011241964054734637
mnth_8,0.00010663863850825993
mnth_6,0.0001030439350361569
hr_2,9.690821953338792e-05
hr_14,9.614030247736936e-05
month_12,7.685344416080337e-05
hr_1,6.707550590153734e-05
hr_5,6.180161700617922e-05
mnth_12,6.002708123621281e-05
hr_13,5.968407472190434e-05
mnth_9,4.8625412874686184e-05
hr_12,4.542257496025516e-05
month_9,4.33681658971028e-05
hr_15,3.326287494288519e-05
hr_3,3.208784222721509e-05
hr_4,7.238406418214196e-08
weathersit_4,0.0
