,importance
hr_cos,0.43005679845809935
hr_sin,0.38606384992599485
workingday_1,0.1651014804840088
temp,0.08066993951797485
is_peak_hour_1,0.06727370023727416
hum,0.04048656225204468
hr_8,0.03958671092987061
is_weekend_1,0.037780928611755374
atemp,0.029266321659088136
month_cos,0.01165229082107544
weathersit_3,0.011429858207702637
season_4,0.008080399036407471
hr_17,0.006657516956329346
weekday_5,0.006033694744110108
hr_7,0.004690158367156983
day,0.004240357875823974
dayofweek_6,0.0040508747100830075
month_sin,0.0032406210899353026
weekday_6,0.0026859283447265626
windspeed,0.0018046379089355468
hr_19,0.0017896056175231933
hr_11,0.0017814278602600099
hr_20,0.001702868938446045
hr_13,0.0016788721084594726
hr_10,0.0013554930686950684
hr_16,0.0011546015739440918
mnth_8,0.0010016679763793946
mnth_11,0.0009918689727783203
holiday_1,0.0009318947792053223
hr_14,0.0007410764694213868
weekday_4,0.0006015300750732422
hr_15,0.0005978822708129882
mnth_10,0.0005716443061828613
hr_1,0.0005336999893188477
weekday_1,0.00048331022262573244
weekday_3,0.00044188499450683596
month_8,0.00044155120849609375
hr_23,0.00038353204727172854
hr_22,0.0003822088241577148
hr_2,0.00022313594818115234
hr_9,0.00017641782760620118
dayofweek_2,0.00017124414443969727
weekday_2,0.00016338825225830077
hr_21,0.00016024112701416016
dayofweek_3,0.00015230178833007811
dayofweek_4,0.0001461029052734375
mnth_12,0.00013445615768432618
hr_18,0.0001267552375793457
hr_4,0.00010521411895751953
hr_3,7.266998291015625e-05
hr_12,1.9681453704833984e-05
dayofweek_5,1.2469291687011718e-05
hr_6,8.380413055419922e-06
season_2,0.0
month_5,0.0
mnth_2,0.0
yr_1,0.0
mnth_4,0.0
hr_5,0.0
mnth_3,0.0
mnth_6,0.0
mnth_7,0.0
month_6,0.0
mnth_5,0.0
month_7,0.0
month_4,0.0
year_2012,0.0
weathersit_4,0.0
month_2,0.0
month_3,0.0
month_10,0.0
month_12,0.0
month_9,0.0
dayofweek_1,-9.65595245361328e-07
weathersit_2,-8.857250213623047e-06
mnth_9,-4.7039985656738284e-05
month_11,-9.622573852539063e-05
season_3,-0.0003244161605834961
